,video_url,lat/lon,video_title
0,https://www.youtube.com/embed/1VyCvBHW7_Q,"['119.4262061', '32.1899073']","Cyberpunk Night Walk through Streets of Chinese City (Zhenjiang, China)"
1,https://www.youtube.com/embed/5NcL90BlNks,"['120.31191', '31.491169']","Nachtwanderung in der Innenstadt von Wuxi, China"
2,https://www.youtube.com/embed/K7TUeQdN_-A,"['120.3433486', '31.5122038']","Walk through Traditional Chinese Urban Village Streets (Wuxi, China)"
3,https://www.youtube.com/embed/Byf0aME-C7w,"['120.3097169', '31.5241379']","Cyberpunk Walk through Backstreets of Chinese City (Wuxi, China)"
4,https://www.youtube.com/embed/sng8-yJ81bw,"['120.2965848', '31.5069428']","Cyberpunk Night Walk through Backstreets of Chinese City (Wuxi, China)"
5,https://www.youtube.com/embed/2NgTR90y5f8,"['119.4414173', '32.2045465']","Walk through Streets of Cyberpunk Chinese City (Zhenjiang, China)"
6,https://www.youtube.com/embed/6BL90Mye7tY,"['120.3475662', '31.4989993']","Walk through Massive Cyberpunk Chinese Market (Wuxi, China)"
7,https://www.youtube.com/embed/DYYRDmY_YP8,"['120.5564118', '31.3009973']","Cyberpunk Night Walk through Backstreets of Chinese City (Suzhou, China)"
8,https://www.youtube.com/embed/RUS16cEgeNQ,"['119.4964457', '32.16202']","Walk through Streets of Obscure Chinese Village (Zhenjiang, China)"
9,https://www.youtube.com/embed/LPs-014Rfc0,"['120.2696447', '31.4863572']","Night Cherry Blossoms in Wuxi, China | Atmospheric Walk through Giant Chinese Park"
10,https://www.youtube.com/embed/Ls-n3hJDskM,"['106.5571389', '29.5578792']","Walking in Chongqing, China | Cyberpunk Walk through Chinese City"
11,https://www.youtube.com/embed/3y8DtrqfVME,"['119.4219446', '32.1695763']","Night Walk through Zhenjiang, China Backstreets | Atmospheric Cyberpunk"
12,https://www.youtube.com/embed/1L-0teA-sAY,"['120.619524', '31.3021257']","Walking in Suzhou, China | Atmospheric Chinese Urban Village"
13,https://www.youtube.com/embed/5LArhIB_rVM,"['106.54688', '29.5588862']","Rainy Walk in Chongqing, China | Cyberpunk Walk through Chinese Urban Jungle"
14,https://www.youtube.com/embed/IQ6ZCz4vdJI,"['120.3035596', '31.4510947']","Walk through Crumbling Village in Wuxi, China | Atmospheric Urban Village on Verge of Demolition"
15,https://www.youtube.com/embed/5DTzaR8iglc,"['106.5673403', '29.5595196']","Night Walk through Backstreets of Chongqing, China | Pure Cyberpunk Bliss"
